키워드그룹,기간,검색관심도(상대값)
가성비 선물,2025-12-08,0.31534
가성비 선물,2025-12-15,0.4449
가성비 선물,2025-12-22,0.37156
가성비 선물,2025-12-29,0.15889
가성비 선물,2026-01-05,0.11733
가성비 선물,2026-01-12,0.09044
가성비 선물,2026-01-19,0.11244
가성비 선물,2026-01-26,0.11489
가성비 선물,2026-02-02,0.18089
가성비 선물,2026-02-09,0.14422
가성비 선물,2026-02-16,0.10755
가성비 선물,2026-02-23,0.022
가성비 선물,2026-03-02,0.04644
가성비 선물,2026-03-09,0.03422
가성비 선물,2026-03-16,0.02688
가성비 선물,2026-03-23,0.02688
가성비 선물,2026-03-30,0.01222
가성비 선물,2026-04-06,0.01222
가성비 선물,2026-04-13,0.02688
가성비 선물,2026-04-20,0.02933
가성비 선물,2026-04-27,0.044
가성비 선물,2026-05-04,0.02444
가성비 선물,2026-05-11,0.066
가성비 선물,2026-05-25,0.02444
가성비 선물,2026-06-01,0.01222
가성비 선물,2026-06-08,0.02688
가성비 선물,2026-06-15,0.03911
가성비 선물,2026-06-22,0.01222
가성비 선물,2026-07-20,0.02933
가성비 선물,2026-07-27,0.01222
가성비 선물,2026-08-03,0.01222
가성비 선물,2026-08-24,0.02444
명절 선물세트,2025-09-08,31.46817
명절 선물세트,2025-09-15,60.49672
명절 선물세트,2025-09-22,79.99413
명절 선물세트,2025-09-29,44.96431
명절 선물세트,2025-10-06,4.01877
명절 선물세트,2025-10-13,0.98269
명절 선물세트,2025-10-20,0.5109
명절 선물세트,2025-10-27,0.33734
명절 선물세트,2025-11-03,0.30311
명절 선물세트,2025-11-10,0.37645
명절 선물세트,2025-11-17,0.48645
명절 선물세트,2025-11-24,0.56468
명절 선물세트,2025-12-01,0.84335
명절 선물세트,2025-12-08,1.0438
명절 선물세트,2025-12-15,1.34203
명절 선물세트,2025-12-22,1.59137
명절 선물세트,2025-12-29,3.0703
명절 선물세트,2026-01-05,6.6075
명절 선물세트,2026-01-12,12.2421
명절 선물세트,2026-01-19,23.76796
명절 선물세트,2026-01-26,43.83739
명절 선물세트,2026-02-02,100.0
명절 선물세트,2026-02-09,88.89948
명절 선물세트,2026-02-16,6.0746
명절 선물세트,2026-02-23,1.09514
명절 선물세트,2026-03-02,0.51823
명절 선물세트,2026-03-09,0.37645
명절 선물세트,2026-03-16,0.31289
명절 선물세트,2026-03-23,0.264
명절 선물세트,2026-03-30,0.25422
명절 선물세트,2026-04-06,0.27867
명절 선물세트,2026-04-13,0.23956
명절 선물세트,2026-04-20,0.33
명절 선물세트,2026-04-27,0.29334
명절 선물세트,2026-05-04,0.374
명절 선물세트,2026-05-11,0.23222
명절 선물세트,2026-05-18,0.20778
명절 선물세트,2026-05-25,0.22
명절 선물세트,2026-06-01,0.15889
명절 선물세트,2026-06-08,0.28111
명절 선물세트,2026-06-15,0.31534
명절 선물세트,2026-06-22,0.39112
명절 선물세트,2026-06-29,0.41067
명절 선물세트,2026-07-06,0.38623
명절 선물세트,2026-07-13,0.55001
명절 선물세트,2026-07-20,0.85557
명절 선물세트,2026-07-27,1.18558
명절 선물세트,2026-08-03,2.30761
명절 선물세트,2026-08-10,4.76679
명절 선물세트,2026-08-17,9.29891
명절 선물세트,2026-08-24,17.15556
명절 선물세트,2026-08-31,20.16964
감동 선물,2025-09-08,0.02444
감동 선물,2025-09-15,0.04644
감동 선물,2025-09-22,0.04155
감동 선물,2025-09-29,0.01466
감동 선물,2025-10-06,0.02444
감동 선물,2025-10-13,0.03666
감동 선물,2025-10-20,0.06111
감동 선물,2025-10-27,0.05133
감동 선물,2025-11-03,0.04889
감동 선물,2025-11-10,0.07333
감동 선물,2025-11-17,0.05133
감동 선물,2025-11-24,0.02933
감동 선물,2025-12-01,0.10755
감동 선물,2025-12-08,0.11978
감동 선물,2025-12-15,0.17111
감동 선물,2025-12-22,0.12955
감동 선물,2025-12-29,0.07577
감동 선물,2026-01-05,0.12955
감동 선물,2026-01-12,0.06844
감동 선물,2026-01-19,0.06355
감동 선물,2026-01-26,0.11244
감동 선물,2026-02-02,0.12222
감동 선물,2026-02-09,0.08555
감동 선물,2026-02-16,0.02933
감동 선물,2026-02-23,0.03911
감동 선물,2026-03-02,0.02933
감동 선물,2026-03-09,0.03177
감동 선물,2026-03-16,0.06355
감동 선물,2026-03-23,0.01222
감동 선물,2026-03-30,0.088
감동 선물,2026-04-06,0.01466
감동 선물,2026-04-20,0.066
감동 선물,2026-04-27,0.11489
감동 선물,2026-05-04,0.03177
감동 선물,2026-05-11,0.06111
감동 선물,2026-05-18,0.044
감동 선물,2026-05-25,0.05377
감동 선물,2026-06-01,0.02444
감동 선물,2026-06-08,0.01222
감동 선물,2026-06-15,0.01222
감동 선물,2026-06-22,0.01711
감동 선물,2026-06-29,0.01222
감동 선물,2026-07-06,0.03422
감동 선물,2026-07-13,0.04889
감동 선물,2026-07-20,0.03177
감동 선물,2026-07-27,0.03666
감동 선물,2026-08-03,0.04155
감동 선물,2026-08-10,0.088
감동 선물,2026-08-17,0.044
감동 선물,2026-08-24,0.01222
감동 선물,2026-08-31,0.01466
